,original,dataset,unified,symptom_id
0,L.A. Pain,eg,Боль в животе,1.0
1,U.A. pain,eg,Боль в животе,1.0
2,Vomiting feeling,eg,Рвота,2.0
3,Yellowship Urine,eg,Неестественная желтизна мочи,3.0
4,Indigestion,eg,Несварение,4.0
5,Temperature,eg,Повышенная температура,5.0
6,uncoordination,OHAS,Нарушение координации,6.0
7,fever,OHAS,Повышенная температура,5.0
8,pleuritic pain,OHAS,Боль в груди,7.0
9,snuffle,OHAS,Насморк,8.0
10,throat sore,OHAS,Боль в горле,9.0
11,malaise,OHAS,Недомогание,10.0
12,debilitation,OHAS,Общая слабость,11.0
13,asthenia,OHAS,Хроническая усталость,12.0
14,chill,OHAS,Озноб,13.0
15,scleral icterus,OHAS,Пожелтение глаз,14.0
16,nasal flaring,OHAS,Расширение ноздрей,15.0
17,dysuria,OHAS,Боль при мочеиспускании,16.0
18,lip smacking,OHAS,Причмокивания,17.0
19,headache,OHAS,Головная боль,18.0
20,sneeze,OHAS,Насморк,8.0
21,snore,OHAS,Храп,19.0
22,green sputum,OHAS,Мокрота,20.0
23,shortness of breath,OHAS,Одышка,21.0
24,distress respiratory,OHAS,"Одышка, синеватая кожа",22.0
25,blackout,OHAS,Провалы в памяти,23.0
26,extreme exhaustion,OHAS,Истощение,24.0
27,heme positive,OHAS,Кровь в кале,25.0
28,pain abdominal,OHAS,Боль в животе,1.0
29,vomiting,OHAS,рвота,2.0
30,disequilibrium,OHAS,Кровь в кале,25.0
31,nausea,OHAS,Тошнота,26.0
32,intoxication,OHAS,Отравлепние,27.0
33,haemorrhage,OHAS,-,
34,guaiac positive,OHAS,Кровь в кале,25.0
35,pain,OHAS,-,
36,decreased body weight,OHAS,Снижение веса,28.0
37,sore to touch,OHAS,Боль при прикосновениях,29.0
38,dizziness,OHAS,Головокружение,30.0
39,pain chest,OHAS,Боль в груди,7.0
40,sweat,OHAS,Повышенное потоотделение,31.0
41,sweating increased,OHAS,Повышенное потоотделение,31.0
42,nonsmoker,OHAS,-,
43,pressure chest,OHAS,Давит в груди,32.0
44,syncope,OHAS,Обморок,33.0
45,numbness,OHAS,-,
46,chest discomfort,OHAS,Дискомфорт в груди,34.0
47,st segment depression,OHAS,-,
48,worry,OHAS,Тревожное состояние,35.0
49,t wave inverted,OHAS,-,
50,bradycardia,OHAS,-,
51,dyspnea,OHAS,Одышка,21.0
52,seizure,OHAS,Судорожные припадки,36.0
53,hypometabolism,OHAS,-,
54,aura,OHAS,Аура,37.0
55,muscle twitch,OHAS,Судороги,38.0
56,drowsiness,OHAS,Сонливость,39.0
57,tremor,OHAS,Дрожь,40.0
58,unresponsiveness,OHAS,Притупление чувств,41.0
59,hemiplegia,OHAS,Паралич половины тела,42.0
60,myoclonus,OHAS,Судороги,38.0
61,gurgle,OHAS,Бульканье в груди,43.0
62,sleepy,OHAS,Сонливость,39.0
63,lethargy,OHAS,Вялость,44.0
64,wheelchair bound,OHAS,-,
65,hyperkalemia,OHAS,-,
66,orthopnea,OHAS,Одышка,21.0
67,rale,OHAS,Хрип,45.0
68,urgency of micturition,OHAS,Недержание,46.0
69,ascites,OHAS,Сильное вздутие живота,47.0
70,apyrexial,OHAS,Повышенная температура,5.0
71,mental status changes,OHAS,Психические расстройства,48.0
72,difficulty,OHAS,Тяжесть в теле,49.0
73,diarrhea,OHAS,Диарея,50.0
74,hypotension,OHAS,Пониженное давление,51.0
75,breath sounds decreased,OHAS,Трудно дышать,52.0
76,swelling,OHAS,-,
77,hypokinesia,OHAS,Затрудненные движения,53.0
78,lightheadedness,OHAS,Головокружение,30.0
79,unwell,OHAS,-,
80,anorexia,OHAS,Анорексия,54.0
81,sensory discomfort,OHAS,Притупление чувств,41.0
82,history of - blackout,OHAS,Провалы в памяти,23.0
83,prostatism,OHAS,Боль при почеиспускании,55.0
84,hyponatremia,OHAS,-,
85,fall,OHAS,Обморок,33.0
86,unsteady gait,OHAS,Шаткая походка,56.0
87,polyuria,OHAS,Недержание,46.0
88,nightmare,OHAS,Ночные кошмары,57.0
89,speech slurred,OHAS,Невнятная речь,58.0
90,weight gain,OHAS,Повышение веса,59.0
91,fatigue,OHAS,Хроническая усталость,12.0
92,tired,OHAS,Хроническая усталость,12.0
93,agitation,OHAS,Волнение,60.0
94,motor retardation,OHAS,Затрудненные движения,53.0
95,mass of body structure,OHAS,Лишний вес,61.0
96,fatigability,OHAS,Быстрая утомляемость,62.0
97,prodrome,OHAS,Тошнота,26.0
98,myalgia,OHAS,Боль в мышцах,63.0
99,general discomfort,OHAS,Общий дискомфорт,64.0
100,dyspnea on exertion,OHAS,Одышка,21.0
101,asterixis,OHAS,Тяжело находиться в одном положении,65.0
102,numbness of hand,OHAS,Онемение рук,66.0
103,photophobia,OHAS,Боязнь света,67.0
104,para 2,OHAS,-,
105,abortion,OHAS,-,
106,intermenstrual heavy bleeding,OHAS,Сильное межменструальное кровотоечение,68.0
107,muscle hypotonia,OHAS,-,
108,hypotonic,OHAS,Пониженное давление,51.0
109,previous pregnancies 2,OHAS,-,
110,heartburn,OHAS,Изжога,69.0
111,primigravida,OHAS,-,
112,abnormally hard consistency,OHAS,Увеличение лимфатических узлов,70.0
113,proteinemia,OHAS,-,
114,paresthesia,OHAS,Жжение и покалывания на коже,71.0
115,titubation,OHAS,Заикание,72.0
116,dysarthria,OHAS,Нарушение речи,73.0
117,painful swallowing,OHAS,Боль при глотании,74.0
118,hoarseness,OHAS,Хрип,45.0
119,stridor,OHAS,Шумный свист при дыхании,75.0
120,stridor,OHAS,Спазмы,76.0
121,dysdiadochokinesia,OHAS,-,
122,ataxia,OHAS,Потеря контроля над телом,77.0
123,suicidal,OHAS,Суицидальные мысли,78.0
124,hoard,OHAS,Накопительство,79.0
125,irritable mood,OHAS,Раздражительность,80.0
126,neologism,OHAS,"Придумывание ""своих"" слов",81.0
127,feeling suicidal,OHAS,Суицидальные мысли,78.0
128,feeling hopeless,OHAS,Чувство безнадежности,82.0
129,hallucinations auditory,OHAS,Слуховые галлюцинации,83.0
130,achalasia,OHAS,Спазмы,76.0
131,stiffness,OHAS,Оцепенение,84.0
132,lesion,OHAS,Поражения кожи,85.0
133,side pain,OHAS,Боль в боку,86.0
134,hirsutism,OHAS,Аномально сильный волосяной покров,87.0
135,sniffle,OHAS,Насморк,8.0
